info face="GameFont" size=32 bold=0 italic=0 charset="" unicode=0 stretchH=100 smooth=1 aa=1 padding=0,0,0,0 spacing=1,1
common lineHeight=60 base=26 scaleW=425 scaleH=434 pages=1 packed=0 alphaChnl=1 redChnl=0 greenChnl=0 blueChnl=0
page id=0 file="GameFont.png"
chars count=96
char id=33 x=402 y=289 width=14 height=54 xoffset=0 yoffset=6 xadvance=15 page=0 chnl=0 letter="!"
char id=34 x=344 y=300 width=26 height=25 xoffset=0 yoffset=6 xadvance=27 page=0 chnl=0 letter="""
char id=35 x=0 y=120 width=57 height=55 xoffset=0 yoffset=5 xadvance=58 page=0 chnl=0 letter="#"
char id=36 x=150 y=106 width=41 height=68 xoffset=0 yoffset=3 xadvance=42 page=0 chnl=0 letter="$"
char id=37 x=0 y=235 width=53 height=55 xoffset=0 yoffset=5 xadvance=54 page=0 chnl=0 letter="%"
char id=38 x=149 y=213 width=43 height=55 xoffset=0 yoffset=7 xadvance=44 page=0 chnl=0 letter="&"
char id=39 x=377 y=63 width=15 height=25 xoffset=0 yoffset=6 xadvance=16 page=0 chnl=0 letter="'"
char id=40 x=374 y=356 width=25 height=66 xoffset=0 yoffset=6 xadvance=26 page=0 chnl=0 letter="("
char id=41 x=375 y=90 width=25 height=66 xoffset=0 yoffset=6 xadvance=26 page=0 chnl=0 letter=")"
char id=42 x=49 y=401 width=35 height=30 xoffset=0 yoffset=6 xadvance=36 page=0 chnl=0 letter="*"
char id=43 x=150 y=175 width=34 height=29 xoffset=0 yoffset=24 xadvance=35 page=0 chnl=0 letter="+"
char id=44 x=85 y=399 width=17 height=20 xoffset=0 yoffset=49 xadvance=18 page=0 chnl=0 letter=","
char id=45 x=154 y=39 width=30 height=12 xoffset=0 yoffset=35 xadvance=31 page=0 chnl=0 letter="-"
char id=46 x=54 y=330 width=16 height=14 xoffset=0 yoffset=48 xadvance=17 page=0 chnl=0 letter="."
char id=47 x=308 y=0 width=34 height=57 xoffset=0 yoffset=5 xadvance=35 page=0 chnl=0 letter="/"
char id=48 x=150 y=52 width=41 height=53 xoffset=0 yoffset=7 xadvance=42 page=0 chnl=0 letter="0"
char id=49 x=374 y=236 width=28 height=52 xoffset=0 yoffset=7 xadvance=29 page=0 chnl=0 letter="1"
char id=50 x=304 y=381 width=35 height=52 xoffset=0 yoffset=7 xadvance=36 page=0 chnl=0 letter="2"
char id=51 x=271 y=326 width=36 height=54 xoffset=0 yoffset=7 xadvance=37 page=0 chnl=0 letter="3"
char id=52 x=149 y=269 width=43 height=53 xoffset=0 yoffset=7 xadvance=44 page=0 chnl=0 letter="4"
char id=53 x=233 y=108 width=38 height=54 xoffset=0 yoffset=7 xadvance=39 page=0 chnl=0 letter="5"
char id=54 x=233 y=53 width=38 height=54 xoffset=0 yoffset=7 xadvance=39 page=0 chnl=0 letter="6"
char id=55 x=111 y=0 width=42 height=51 xoffset=0 yoffset=9 xadvance=43 page=0 chnl=0 letter="7"
char id=56 x=192 y=379 width=39 height=54 xoffset=0 yoffset=7 xadvance=40 page=0 chnl=0 letter="8"
char id=57 x=193 y=163 width=39 height=55 xoffset=0 yoffset=7 xadvance=40 page=0 chnl=0 letter="9"
char id=58 x=402 y=0 width=15 height=36 xoffset=0 yoffset=20 xadvance=16 page=0 chnl=0 letter=":"
